"","name","price","log_price","review.point","Owner","category","Distillery","Location","Region","Founded","ABV","n_Distillery"
"16","Aberlour A’Bunadh (Batch 61), 60.8%",100,4.60517018598809,89,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,60.8,15
"17","Aberlour a'bunadh, 59.9%",60,4.0943445622221,90,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,59.9,15
"18","Aberlour a'bunadh, 60%",60,4.0943445622221,90,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,60,15
"19","Aberlour a’Bunadh (batch 50), 59.6%",80,4.38202663467388,84,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,59.6,15
"20","Abhainn Dearg Single Malt Special Edition, 46%",239,5.47646355193151,81,"Independent","Single Malt Scotch","Abhainn Dearg","Uig, Isle of Lewis","Island",2008,46,1
"21","Adelphi (distilled at BenRiach) 1977 34 year old, 48.8%",283,5.64544689764324,91,"Brown-Forman","Single Malt Scotch","BenRiach","Morayshire","Speyside",1898,48.8,38
"22","Adelphi (distilled at Bowmore) 12 year old 2000, 56.1%",92,4.52178857704904,90,"Beam Suntory","Single Malt Scotch","Bowmore","Bowmore","Islay",1779,56.1,59
"23","Adelphi (distilled at Bunnahabhain) 1989 25 year old, 45%",265,5.57972982598622,85,"Distell","Single Malt Scotch","Bunnahabhain","Port Askaig","Islay",1881,45,38
"24","Adelphi (distilled at Clynelish), 1989, 10 year old, 61.5%",85,4.44265125649032,90,"Diageo","Single Malt Scotch","Clynelish","Brora","Highland",1967,61.5,26
"25","Adelphi (distilled at Dailuaine) 1983 27 year old, 58.1%",165,5.10594547390058,86,"Diageo","Single Malt Scotch","Dailuaine","Aberlour","Speyside",1852,58.1,7
"26","Adelphi (distilled at Glen Grant) 1985 25 year old, 55%",138,4.92725368515721,87,"Campari","Single Malt Scotch","Glen Grant","Rothes","Speyside",1840,55,27
"27","Adelphi (distilled at Glen Moray) 27 year old, 56.8%",158,5.06259503302697,87,"La Martiniquaise","Single Malt Scotch","Glen Moray","Elgin","Speyside",1897,56.8,19
"28","Adelphi (distilled at Glenrothes) 1990 20 year old, 58.6%",124,4.82028156560504,88,"Edrington","Single Malt Scotch","Glenrothes","Rothes","Speyside",1879,58.6,47
"29","Adelphi (distilled at Glenrothes) 7 year old, 67.4%",135,4.90527477843843,82,"Edrington","Single Malt Scotch","Glenrothes","Rothes","Speyside",1879,67.4,47
"30","Adelphi (distilled at Linkwood) 1984 26 year old, 57.6%",148,4.99721227376411,92,"Diageo","Single Malt Scotch","Linkwood","Elgin","Speyside",1821,57.6,11
"31","Adelphi (distilled at Longmorn) 1985, 49.2%",320,5.76832099579377,84,"Chivas Brothers","Single Malt Scotch","Longmorn","Elgin","Speyside",1893,49.2,19
"32","Adelphi (distilled at Longmorn) 20 year old 1992, 55.1%",124,4.82028156560504,82,"Chivas Brothers","Single Malt Scotch","Longmorn","Elgin","Speyside",1893,55.1,19
"33","Adelphi (distilled at Macallan) 14 year old 1997, 51.6%",117,4.76217393479776,90,"Edrington","Single Malt Scotch","Macallan","Craigellachie","Speyside",1824,51.6,54
"34","Adelphi (distilled at Macallan) 22 year old, 56%",151,5.01727983681492,89,"Edrington","Single Malt Scotch","Macallan","Craigellachie","Speyside",1824,56,54
"35","Adelphi (distilled at Mortlach) 25 year old, 59.4%",157,5.05624580534831,90,"Diageo","Single Malt Scotch","Mortlach","Dufftown","Speyside",1823,59.4,23
"36","Adelphi (distilled at Mortlach) 26 year old, 58.6%",295,5.68697535633982,90,"Diageo","Single Malt Scotch","Mortlach","Dufftown","Speyside",1823,58.6,23
"37","Adelphi (distilled at The Glenlivet) 1978 34 year old, 48.8%",160,5.07517381523383,80,"Chivas Brothers","Single Malt Scotch","Glenlivet","Ballindalloch","Speyside",1824,48.8,45
"38","Adelphi Fascadale 12 year old Batch 5 (distilled at Highland Park), 46%",69,4.23410650459726,86,"Edrington","Single Malt Scotch","Highland Park","Kirkwall","Island",1798,46,62
"39","Ailsa Bay, 48.9%",79,4.36944785246702,91,"William Grant & Sons","Single Malt Scotch","Ailsa Bay","Girvan","Lowland",2009,48.9,1
"40","Ar4 Elements of Islay (distilled at Ardbeg), 58.1%",151,5.01727983681492,89,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,58.1,30
"41","Ardbeg Airidh Nam Beist, 1990 Vintage, 46%",100,4.60517018598809,92,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46,30
"42","Ardbeg Alligator, 51.2%",95,4.55387689160054,92,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,51.2,30
"43","Ardbeg An Oa",60,4.0943445622221,93,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,NA,30
"44","Ardbeg Ardbog, 52.1%",100,4.60517018598809,91,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,52.1,30
"45","Ardbeg Auriverdes, 49.9%",100,4.60517018598809,84,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,49.9,30
"46","Ardbeg Corryvreckan, 57.1%",85,4.44265125649032,96,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,57.1,30
"47","Ardbeg Dark Cove Committee Edition, 55%",110,4.70048036579242,91,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,55,30
"48","Ardbeg Dark Cove, 46.5%",110,4.70048036579242,87,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46.5,30
"49","Ardbeg Day, 56.7%",90,4.49980967033027,89,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,56.7,30
"50","Ardbeg Galileo, 49%",95,4.55387689160054,80,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,49,30
"51","Ardbeg Grooves, 46%",110,4.70048036579242,91,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46,30
"52","Ardbeg Kelpie, 46%",119,4.77912349311153,88,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46,30
"53","Ardbeg Kildalton, 46%",191,5.25227342804663,89,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46,30
"54","Ardbeg Perpetuum, 47.4%",100,4.60517018598809,90,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,47.4,30
"55","Ardbeg Rollercoaster, 57.3%",85,4.44265125649032,89,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,57.3,30
"56","Ardbeg Supernova (2010 Release), 60.1%",130,4.86753445045558,90,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,60.1,30
"57","Ardbeg Supernova 2015 Release, 54.3%",160,5.07517381523383,91,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,54.3,30
"58","Ardbeg Supernova Committee bottling 2014, 55%",160,5.07517381523383,91,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,55,30
"59","Ardbeg Supernova, 58.9%",130,4.86753445045558,89,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,58.9,30
"60","Ardbeg Twenty One, 46%",500,6.21460809842219,89,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46,30
"61","Ardbeg Twenty Something, 46.3%",550,6.30991827822652,91,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46.3,30
"62","Ardbeg Uigeadail, 54.2%",70,4.24849524204936,95,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,54.2,30
"63","Ardbeg, 10 year old, 46%",55,4.00733318523247,93,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,46,30
"64","Ardbeg, 1974 Vintage, Cask #3145, 49.9%",20000,9.90348755253613,95,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,49.9,30
"65","Ardbeg, 1974 Vintage, Cask #3524, 49.9%",20000,9.90348755253613,94,"LVMH","Single Malt Scotch","Ardbeg","Port Ellen","Islay",1815,49.9,30
"66","Ardmore 100th Anniversary 12 year old, 40%",155,5.04342511691925,92,"Beam Suntory","Single Malt Scotch","Ardmore","Kennethmont","Highland",1898,40,7
"67","Ardmore Traditional Cask 1998",50,3.91202300542815,87,"Beam Suntory","Single Malt Scotch","Ardmore","Kennethmont","Highland",1898,NA,7
"68","Ardmore Traditional Cask, 46%",50,3.91202300542815,80,"Beam Suntory","Single Malt Scotch","Ardmore","Kennethmont","Highland",1898,46,7
"69","Ardmore, 25 year old, 51.4%",195,5.27299955856375,83,"Beam Suntory","Single Malt Scotch","Ardmore","Kennethmont","Highland",1898,51.4,7
"70","Ardmore, 30 year old, 53.7%",450,6.10924758276437,90,"Beam Suntory","Single Malt Scotch","Ardmore","Kennethmont","Highland",1898,53.7,7
"71","Arran 12 year old Cask Strength, 53.6%",70,4.24849524204936,84,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,53.6,37
"72","Arran 14 Year Old, 46%",70,4.24849524204936,86,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"73","Arran 18 year old, 46%",120,4.78749174278205,89,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"74","Arran 18 year old, 46%",100,4.60517018598809,89,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"75","Arran Machrie Moor 5th Edition, 46%",62,4.12713438504509,83,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"76","Arran Machrie Moor Cask Strength (Batch 1), 58.4%",78,4.35670882668959,84,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,58.4,37
"77","Arran Malt 16 year old, 46%",110,4.70048036579242,88,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"78","Arran Malt 17 year old, 46%",120,4.78749174278205,89,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"79","Arran Malt Amarone Wine Finish, 50%",70,4.24849524204936,89,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,50,37
"80","Arran Malt Orkney Bere, 56.2%",95,4.55387689160054,85,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,56.2,37
"81","Arran Malt The Millennium Casks, 53.5%",108,4.68213122712422,89,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,53.5,37
"82","Arran Premium Bourbon Single Cask #2096, 52%",130,4.86753445045558,87,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,52,37
"83","Arran Premium Sherry Single Cask #1979, 51.1%",130,4.86753445045558,88,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,51.1,37
"84","Arran Sherry Premium Single Cask 1997 #217, 53.2%",125,4.8283137373023,86,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,53.2,37
"85","Arran Single Island Malt, Non-chill-filtered, 46%",40,3.68887945411394,80,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"86","Arran Smugglers’ Series Vol. 1 The Illicit Stills, 56.4%",123,4.81218435537242,86,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,56.4,37
"87","Arran The Bothy Quarter Cask, 55.7%",80,4.38202663467388,87,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,55.7,37
"88","Arran The Devil’s Punch Bowl Chapter II: Angels & Devils, 53.1%",130,4.86753445045558,89,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,53.1,37
"89","Arran The Devil’s Punchbowl III The Fiendish Finale, 53.4%",130,4.86753445045558,89,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,53.4,37
"90","Arran The Eagle 1999, 46%",66,4.18965474202643,87,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"91","Arran The Peacock, 1996 Vintage, 46%",62,4.12713438504509,87,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,46,37
"92","Arran ‘The Devil’s Punch Bowl,’ 52.3%",130,4.86753445045558,88,"Isle of Arran Distillers Ltd.","Single Malt Scotch","Arran","Lochranza","Island",1995,52.3,37
"93","Auchentoshan 10 year old, 43%",33,3.49650756146648,81,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,43,40
"94","Auchentoshan 17 year old, Bordeaux Wine Finish, 51%",120,4.78749174278205,79,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,51,40
"95","Auchentoshan 1962, 41 year old, 40.3%",2000,7.60090245954208,77,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,40.3,40
"96","Auchentoshan 1975, 45.6%",820,6.7093043402583,88,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,45.6,40
"97","Auchentoshan 1977, 49.0%",607,6.4085287910595,87,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,49,40
"98","Auchentoshan 1979 Oloroso Sherry Matured, 50.5%",550,6.30991827822652,89,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,50.5,40
"99","Auchentoshan 1998, 54.6%",70,4.24849524204936,85,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,54.6,40
"100","Auchentoshan 1999 Bordeaux Cask Matured, 58%",70,4.24849524204936,84,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,58,40
"101","Auchentoshan 21 year old, 43%",115,4.74493212836325,91,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,43,40
"102","Auchentoshan 32 year old, 1973 vintage, 55.5%",700,6.5510803350434,82,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,55.5,40
"103","Auchentoshan American Oak, 40%",40,3.68887945411394,83,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,40,40
"104","Auchentoshan Blood Oak, 46%",100,4.60517018598809,85,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,46,40
"105","Auchentoshan Bourbon Matured 1975, 46.9%",750,6.62007320653036,87,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,46.9,40
"106","Auchentoshan Classic, 40%",30,3.40119738166216,80,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,40,40
"107","Auchentoshan Cooper’s Reserve 14 year old, 46%",100,4.60517018598809,85,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,46,40
"108","Auchentoshan Heartwood, 43%",63,4.14313472639153,86,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,43,40
"109","Auchentoshan Silveroak 1990, 50.9%",145,4.97673374242057,87,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,50.9,40
"110","Auchentoshan Springwood, 40%",53,3.97029191355212,85,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,40,40
"111","Auchentoshan Three Wood, 43%",70,4.24849524204936,80,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,43,40
"112","Auchentoshan Valinch 2012, 57.2%",60,4.0943445622221,85,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,57.2,40
"113","Auchentoshan Valinch, 57.5%",60,4.0943445622221,85,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,57.5,40
"114","Auchentoshan Virgin Oak, 46%",70,4.24849524204936,84,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,46,40
"115","Auchentoshan, 12 year old, 40%",45,3.80666248977032,84,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,40,40
"116","Auchentoshan, 16 year old, 53.7%",120,4.78749174278205,83,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,53.7,40
"117","Auchentoshan, 18 year old, 43%",95,4.55387689160054,86,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,43,40
"118","Auchentoshan, 18 year old, 55.8%",100,4.60517018598809,90,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,55.8,40
"119","Auchentoshan, 1966 Vintage, 37 year old, 48.1%",150,5.01063529409626,85,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,48.1,40
"120","Auchentoshan, 1966, 36 year old, 49.4%",120,4.78749174278205,90,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,49.4,40
"121","Auchentoshan, 40 years old, 41.6%",1500,7.3132203870903,86,"Beam Suntory","Single Malt Scotch","Auchentoshan","Dalmuir","Lowland",1823,41.6,40
"122","Auchroisk 20 year old, 58.1%",175,5.16478597392351,89,"Diageo","Single Malt Scotch","Auchroisk","Mulben","Speyside",1972,58.1,7
"123","Auchroisk 25 year old, 51.2%",450,6.10924758276437,85,"Diageo","Single Malt Scotch","Auchroisk","Mulben","Speyside",1972,51.2,7
"124","Auchroisk 30 year old Special Release 2012, 54.7%",359,5.88332238848828,88,"Diageo","Single Malt Scotch","Auchroisk","Mulben","Speyside",1972,54.7,7
"125","Aultmore 12 year old, 55%",53,3.97029191355212,85,"Bacardi","Single Malt Scotch","Aultmore","Banffshire","Speyside",1895,55,7
"126","Aultmore 21 year old, 46%",199,5.29330482472449,86,"Bacardi","Single Malt Scotch","Aultmore","Banffshire","Speyside",1895,46,7
"127","Aultmore 25 year old, 46%",636,6.45519856334012,88,"Bacardi","Single Malt Scotch","Aultmore","Banffshire","Speyside",1895,46,7
"128","Balblair 16 year old, 40%",50,3.91202300542815,84,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,40,22
"129","Balblair 1969 Vintage, 41.4%",3500,8.1605182474775,89,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,41.4,22
"130","Balblair 1975 Vintage, 46%",375,5.92692602597041,87,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"131","Balblair 1989 Vintage, 43%",94,4.54329478227,84,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,43,22
"132","Balblair 1989, 43%",130,4.86753445045558,88,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,43,22
"133","Balblair 1990 (2nd release), 46%",150,5.01063529409626,89,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"134","Balblair 1995, 46%",80,4.38202663467388,91,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"135","Balblair 1996 Vintage, 46%",80,4.38202663467388,84,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"136","Balblair 1997, 46%",85,4.44265125649032,88,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"137","Balblair 1999 (2nd release), 46%",90,4.49980967033027,85,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"138","Balblair 2000, 43%",55,4.00733318523247,89,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,43,22
"139","Balblair 2001 Vintage, 46%",53,3.97029191355212,88,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"140","Balblair 2002 Vintage, 46%",63,4.14313472639153,84,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"141","Balblair 2004 Bourbon Matured, 46%",74,4.30406509320417,83,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"142","Balblair 2004 Sherry Matured, 46%",83,4.4188406077966,85,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"143","Balblair Vintage 2003, 46%",65,4.17438726989564,87,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"144","Balblair Vintage 2005, 46%",60,4.0943445622221,87,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,46,22
"145","Balblair, 1991 Vintage, 43%",130,4.86753445045558,85,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,43,22
"146","Balblair, 1991, Duncan Taylor Rare Auld range, 53.9%",120,4.78749174278205,86,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,53.9,22
"147","Balblair, 1997 vintage, 43%",65,4.17438726989564,88,"Inver House Distillers","Single Malt Scotch","Balblair","Edderton","Highland",1790,43,22
"148","Ballantine’s 17 year old Signature Distillery Editions – Glenburgie, 40%",80,4.38202663467388,88,"Chivas Brothers","Blended Scotch Whisky","Glenburgie","Morayshire","Speyside",1810,40,7
"149","Ballantine’s 17 year old Signature Distillery Editions – Glentauchers, 40%",80,4.38202663467388,86,"Chivas Brothers","Blended Scotch Whisky","Glentauchers","Mulben","Speyside",1897,40,6
"150","Ballantine’s 17 year old Signature Distillery Editions – Miltonduff, 43%",80,4.38202663467388,81,"Chivas Brothers","Blended Scotch Whisky","Miltonduff","Elgin","Speyside",1824,43,7
"151","Ballantine’s 17 year old Signature Distillery Editions – Scapa, 43%",80,4.38202663467388,91,"Chivas Brothers","Blended Scotch Whisky","Scapa","Kirkwall","Island",1885,43,8
"152","Balvenie 1973 43 year old, 46.6%",15000,9.61580548008435,95,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,46.6,33
"153","Balvenie 1973 Vintage, 30 year old, Cask #9219",400,5.99146454710798,93,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,NA,33
"154","Balvenie 25 year old, 46.9%",250,5.52146091786225,93,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,46.9,33
"155","Balvenie 30 year old, 47.3%",550,6.30991827822652,90,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,47.3,33
"156","Balvenie 40 year old (Batch #2), 48.5%",3982,8.28953948462414,88,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,48.5,33
"157","Balvenie Caribbean Rum Cask, 14 year old, 43%",60,4.0943445622221,89,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,43,33
"158","Balvenie DCS Compendium 1st Chapter 1968 46 year old (Cask 7293), 45.9%",27620,10.2262954269633,90,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,45.9,33
"159","Balvenie DCS Compendium 1st Chapter 1978 37 year old (Cask 2708), 50.2%",6542,8.78599820809833,87,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,50.2,33
"160","Balvenie DCS Compendium 1st Chapter 1985 30 year old (Cask 612), 54.1%",1872,7.53476265703754,85,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,54.1,33
"161","Balvenie DCS Compendium 1st Chapter 1997 17 year old (Cask 5365), 60.7%",1008,6.91572344863131,84,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,60.7,33
"162","Balvenie DCS Compendium 1st Chapter 2005 9 year old (Cask 6587), 57.5%",576,6.35610766069589,80,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,57.5,33
"163","Balvenie DoubleWood 17 year old, 43%",130,4.86753445045558,86,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,43,33
"164","Balvenie Madeira Cask 21 year old, 40%",212,5.35658627467201,82,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,40,33
"165","Balvenie Peat Week  14 year old, 48.3%",99,4.59511985013459,88,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,48.3,33
"166","Balvenie Peated Cask, 17 year old, 43%",130,4.86753445045558,85,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,43,33
"167","Balvenie PortWood 21 year old, 40%",220,5.39362754635236,91,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,40,33
"168","Balvenie Single Barrel Sherry Cask 15 year old, 47.8%",100,4.60517018598809,84,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,47.8,33
"169","Balvenie Single Barrel Traditional Oak 25 year old, 47.8%",599,6.39526159811545,88,"William Grant & Sons","Single Malt Scotch","Balvenie","Dufftown","Speyside",1892,47.8,33
