Name,NameAlias,Age,Dist,Score,Percentage,Region,DISTRICT,Place,East,North,colour,nose,body,palate,fin,area
Benriach,Benriach,-9,3,69,40,HIGH,SPEY,Benriach,3.24,57.59,gold,"Aroma, Grass","med, light","dry, sweet","dry, warm, smoke",spey
Benrinnes,Benrinnes,-9,3,78,40,HIGH,SPEY,Benrinnes,3.24,57.43,amber,"Aroma, Peat","med, round, smooth, firm","full, dry","dry, big, smoke",spey
Benromach,Benromach,-9,3,75,40,HIGH,SPEY,Benromach,3.6,57.6,amber,"Aroma, Peat, Dry, Grass",med,"full, light, smooth, fruit, grass, smoke, sweet","fruit, smoke",spey
Bladnoch,Bladnoch,8,4,85,40,LOW ,BORDERS,Bladnoch,4.44,54.86,yellow,"Fruit, Grass","light, firm",full,"big, light, fruit",lowland
Blair Athol,Blair Atho,8,3,75,40,HIGH,MIDLAND,Blair Athol,3.74,56.72,p_gold,"Fresh, Spicy","med, light","dry, light, sweet, spice, arome","smooth, spice",midland
Bowmore,Bowmore,10,4,81,40,ISLAY,LOCH,Bowmore,6.28,55.75,o_gold,"Peat, Dry, Grass, Sea","med, light",sweet,"salt, quick",islay
Brackla,Brackla,-9,3,77,40,HIGH,SPEY,Brackla,3.93,57.52,o_gold,"Peat, Sweet","med, full","smooth, fruit, sweet, arome","dry, grass",spey
Bruichladdich,Bruichladd,10,3,76,40,ISLAY,LOCH,Bruichladdich,6.36,55.77,pale,Light,"smooth, light, firm","dry, clean, smoke, sweet",full,islay
Bunnahabhain,Bunnahabha,12,3,77,40,ISLAY,NORTH,Bunnahabhain,6.14,55.89,gold,"Fresh, Sea","med, light, firm","clean, fruit, sweet",full,islay
Caol Ila,Caol Ila,12,4,77,40,ISLAY,NORTH,Caol Ila,6.12,55.85,wyne,"Peat, Fruit, Sea","light, firm, oily","smoke, spice","warm, spice",islay
Caperdonich,Caperdonic,-9,3,73,40,HIGH,SPEY,Caperdonich,3.19,57.53,f_gold,"Aroma, Peat","med, light","fruit, sweet","warm, smoke, ling",spey
Cardhu,Cardhu,12,3,72,40,HIGH,SPEY,Cardhu,3.33,57.46,pale,"Aroma, Peat, Light","smooth, light","light, sweet","dry, smoke, sweet, oil, ling",spey
Clynelish,Clynelish,12,4,81,40,HIGH,NORTH,Clynelish,3.87,58,amber,Sea,"full, oily","full, grass, sweet, spice, salt","spice, ling",north
Coleburn,Coleburn,-9,2,67,40,HIGH,SPEY,Coleburn,3.21,57.55,p_gold,"Dry, Fruit, Grass","light, oily","dry, fruit, smoke, sweet, arome",quick,spey
Convalmore,Convalmore,-9,2,68,40,HIGH,SPEY,Convalmore,3.12,57.46,f_gold,Sweet,"med, full","dry, smooth, sweet, oil","dry, smoke, spice",spey
Cragganmore,Cragganmor,12,4,90,40,HIGH,SPEY,Cragganmore,3.38,57.4,gold,"Aroma, Sweet, Grass, Rich","med, smooth, light, firm","clean, grass",long,spey
Craigellachie,Craigellac,-9,3,72,40,HIGH,SPEY,Craigellachie,3.19,57.48,f_gold,"Aroma, Peat, Sweet, Dry, Fruit",med,"fruit, sweet",big,spey
Dailuaine,Dailuaine,-9,3,74,40,HIGH,SPEY,Dailuaine,3.26,57.45,gold,"Aroma, Sweet, Dry, Sherry","med, full","fruit, sweet, oil",grass,spey
Dallas Dhu,Dallas Dhu,-9,4,85,40,HIGH,SPEY,Dallas Dhu,3.47,57.55,f_amber,"Peat, Sweet, Grass, Rich",full,"smoke, sweet","dry, smooth, grass, long",spey
Dalmore,Dalmore,12,4,79,40,HIGH,NORTH,Dalmore,4.17,57.7,f_amber,"Sweet, Fruit, Sherry","soft, med, full","full, dry, big, smooth, fruit, smoke, spice, salt","fruit, long",north
Dalwhinnie,Dalwhinnie,15,3,76,43,HIGH,SPEY,Dalwhinnie,4.23,56.93,gold,"Aroma, Peat, Dry, Sea","firm, oily","smooth, fruit, grass, smoke, sweet, arome",very,spey
Deanston,Deanston,-9,2,69,40,HIGH,MIDLAND,Deanston,4.04,56.28,pale,"Sweet, Fresh, Dry","smooth, light","fruit, sweet","dry, light",midland
Dufftown,Dufftown,10,3,71,40,HIGH,SPEY,Dufftown,3.13,57.44,f_gold,"Aroma, Peat, Sweet, Dry, Rich","med, round, light, firm, oily","dry, smoke, sweet, oil","oil, ling",spey
Edradour,Edradour,10,4,81,40,HIGH,MIDLAND,Edradour,3.72,56.71,gold,"Peat, Sweet, Fruit, Sherry, Spicy",light,"clean, sweet, spice, oil",warm,midland
Fettercairn,Fettercair,8,3,71,40,HIGH,EAST,Fettercairn,2.59,56.86,pale,"Aroma, Sweet, Light, Fruit","smooth, light","dry, fruit, grass","warm, light, ling",east
Glen  Albyn,Glen  Alby,-9,2,67,40,HIGH,SPEY,Glen Albyn,4.24,57.47,amber,"Peat, Light, Dry, Sherry","med, round, light","light, smoke, sweet",ling,spey
Glenallachie,Glenallach,12,3,76,40,HIGH,SPEY,Glenallachie,3.22,57.45,v_pale,"Aroma, Sweet","light, firm","smooth, clean","grass, sweet, long",spey
Glenburgie,Glenburgie,-9,2,68,40,HIGH,SPEY,Glenburgie,3.49,57.63,gold,"Dry, Fruit, Grass","smooth, light, oily","sherry, sweet, spice","warm, long",spey
Glencadam,Glencadam,-9,2,68,40,HIGH,EAST,Glencadam,2.74,56.7,f_gold,"Peat, Fruit",full,"sweet, salt",warm,east
Glen Deveron,Glen Dever,12,3,75,40,HIGH,SPEY,Glen Deveron,2.47,57.66,gold,"Aroma, Sweet, Fresh, Sherry","med, smooth, light","full, clean, sweet","dry, warm, sweet, quick",spey
Glendronach,Glendronac,12,3,75,43,HIGH,SPEY,Glendronach,2.67,57.45,gold,"Sweet, Dry, Sherry","med, full, smooth, oily","dry, sweet","clean, fruit, grass",spey
Glendullan,Glendullan,12,3,75,43,HIGH,SPEY,Glendullan,3.11,57.45,amber,"Aroma, Sweet, Fruit, Sherry","med, full, smooth, firm","dry, big, fruit, sweet, arome","warm, long",spey
Glen Elgin,Glen Elgin,12,3,75,43,HIGH,SPEY,Glen Elgin,3.24,57.55,f_gold,"Peat, Fruit","soft, med, light","clean, fruit, sweet","light, clean, smoke",spey
Glenesk,Glenesk,12,3,66,40,HIGH,EAST,Glenesk,2.67,56.73,gold,"Aroma, Sweet, Dry","soft, med, smooth, light","dry, smooth, sweet","dry, clean, sweet",east
Glenfarclas,Glenfarcla,10,4,86,40,HIGH,SPEY,Glenfarclas,3.3,57.43,bronze,"Peat, Sweet, Sherry",firm,dry,"sweet, long",spey
Glenfiddich,Glenfiddic,-9,3,75,40,HIGH,SPEY,Glenfiddich,3.11,57.45,wyne,"Aroma, Sweet, Light, Fresh, Fruit","smooth, light, firm","dry, fruit, smoke, sweet","dry, smoke",spey
Glen Garioch,Glen Gario,10,4,77,43,HIGH,EAST,Glen Garioch,2.29,57.34,f_gold,"Aroma, Peat","med, firm","fruit, smoke, sweet","dry, warm, smoke, quick",east
Glenglassaugh,Glenglassa,-9,3,76,40,HIGH,SPEY,Glenglassaugh,2.68,57.68,gold,"Fresh, Grass","smooth, light, firm","grass, sweet",dry,spey
Glengoyne,Glengoyne,10,3,74,40,HIGH,WEST,Glengoyne,4.12,56.07,f_gold,"Peat, Fresh, Fruit, Sherry","med, round, smooth, light","clean, sweet","dry, clean, sweet",west
Glen Grant,Glen Grant,10,4,76,43,HIGH,SPEY,Glen Grant,3.24,57.54,f_gold,"Sweet, Dry","med, light","dry, light, fruit, sweet","dry, grass",spey
Glen Keith,Glen Keith,-9,2,64,40,HIGH,SPEY,Glen Keith,2.95,57.52,bronze,"Peat, Light, Dry, Grass","med, full","dry, sherry, smoke, sweet","dry, warm, long",spey
Glenkinchie,Glenkinchi,10,4,76,43,LOW,EAST,Glenkinchie,2.95,55.94,gold,"Aroma, Peat, Sweet, Grass","med, light, oily","full, smooth, clean, grass, sweet","dry, warm, spice",lowland
Glenlivet,Glenlivet,12,5,85,40,HIGH,SPEY,Glenlivet,3.33,57.36,p_gold,"Grass, Sherry","med, smooth, light, firm","dry, fruit, sweet, spice, arome","warm, long",spey
Glenlochy,Glenlochy,-9,2,70,40,HIGH,WEST,Glenlochy,5.12,56.86,f_gold,"Peat, Light, Dry","med, light, firm, oily","dry, light, smoke, oil","big, smoke, quick",west
Glenlossie,Glenlossie,-9,3,76,40,HIGH,SPEY,Glenlossie,3.29,57.56,f_gold,"Sweet, Fresh, Dry, Fruit, Sherry","med, round, smooth, light","dry, clean, fruit, sweet","warm, arome, long",spey
Glen Mhor,Glen Mhor,8,2,64,40,HIGH,SPEY,Glen Mhor,4.26,57.39,gold,"Aroma, Sweet","soft, light","dry, fruit, smoke, sweet","light, arome",spey
Glenmorangie,Glenmorang,10,4,80,40,HIGH,NORTH,Glenmorangie,4.02,57.81,p_gold,"Sweet, Fresh, Grass, Sea, Spicy","med, light, oily","grass, sweet, spice","full, long",north
Glen Moray,Glen Moray,12,3,75,40,HIGH,SPEY,Glen Moray,3.32,57.64,p_gold,"Fresh, Grass, Rich","smooth, light, firm",grass,"dry, grass",spey
Glen Ordie,Glen Ordie,12,3,75,40,HIGH,NORTH,Glen Ordie,4.45,57.52,f_gold,"Peat, Sweet, Dry, Rich","med, full, smooth","full, dry, clean, sweet","dry, smooth, spice",north
Glenrothes,Glenrothes,8,4,80,40,HIGH,SPEY,Glenrothes,3.22,57.51,f_gold,"Aroma, Fruit, Rich","med, full, smooth","full, dry, smooth, fruit, sweet","dry, smooth",spey
Glen Scotia,Glen Scoti,8,4,85,40,LOW,CAMPBEL,Glen Scotia,5.6,55.41,f_gold,"Aroma, Fresh, Sea","med, round, smooth, light",salt,"big, long",campbell
Glen Spey,Glen Spey,8,3,73,40,HIGH,SPEY,Glen Spey,3.19,57.51,gold,"Aroma, Light","med, light","fruit, grass, smoke, arome","dry, light",spey
Glentauchers,Glentauche,17,2,71,46,HIGH,SPEY,Glentauchers,2.95,57.33,wyne,"Sweet, Light, Dry, Fruit, Sea, Spicy","smooth, light","dry, big, light, sweet","dry, warm, long",spey
Glenturret,Glenturret,10,4,77,57.1,HIGH,MIDLAND,Glenturret,3.84,56.38,wyne,"Aroma, Sweet","soft, firm","big, smoke","fruit, long",midland
Glenugie,Glenugie,-9,2,70,54.8,HIGH,EAST,Glenugie,1.8,57.49,f_gold,"Peat, Fruit, Sea, Sherry","soft, med, smooth, oily","sherry, big, sweet, spice",dry,east
Glenury Royal,Glenury Ro,12,3,76,40,HIGH,EAST,Glenury Royal,2.22,56.97,bronze,"Aroma, Peat, Dry","med, light, firm","dry, smoke, sweet","fruit, smoke, sweet, very",east
Highland Park,Highland P,12,5,90,40,HIGH,ORKNEY,Highland Park,2.96,58.98,amber,"Peat, Sweet, Fruit, Sherry","med, smooth","dry, smoke, sweet",fruit,islands
Imperial,Imperial,-9,3,76,40,HIGH,SPEY,Imperial,3.3,57.45,f_gold,"Aroma, Peat, Sherry","soft, med, full","full, smoke, sweet, spice","smooth, smoke",spey
Inchgower,Inchgower,12,3,75,40,HIGH,SPEY,Inchgower,2.98,57.67,gold,"Aroma, Peat, Sweet, Dry, Sea, Rich","med, smooth","sweet, salt","salt, long",spey
Inchmurrin,Inchmurrin,12,2,65,40,HIGH,WEST,Inchmurrin,4.59,55.99,f_gold,"Aroma, Dry, Grass","round, light, oily","dry, sweet, spice","light, spice",west
Inverleven,Inverleven,17,2,67,46,LOW,WEST,Inverleven,4.61,55.95,gold,"Aroma, Peat, Dry, Fruit, Grass","full, round, light",spice,"big, fruit",lowland
Jura,Jura,10,3,71,40,HIGH,JURA,Jura,5.94,55.84,gold,"Peat, Sweet, Light, Dry, Sherry","soft, light","dry, sweet, salt","sweet, salt",islands
Kinclaith,Kinclaith,-9,2,69,40,LOW,WEST,Kinclaith,4.39,55.8,bronze,"Peat, Sea","soft, light","light, fruit, spice","smooth, fruit",lowland
Knockando,Knockando,-9,3,76,43,HIGH,SPEY,Knockando,3.33,57.45,p_gold,"Aroma, Peat, Dry","smooth, light","smooth, fruit, grass, sweet, spice, salt","light, smooth, clean, grass, smoke, sweet",spey
Knockdhu,Knockdhu,-9,3,73,40,HIGH,SPEY,Knockdhu,2.74,57.56,gold,"Peat, Sweet, Dry, Fruit","soft, med, oily","fruit, sweet","dry, smoke, arome, long",spey
Ladyburn,Ladyburn,20,2,57,46,LOW,WEST,Ladyburn,4.96,55.125,wyne,"Light, Dry, Fruit","soft, light","dry, light, sweet, arome","dry, big",lowland
Lagavulin,Lagavulin,12,5,89,43,ISLAY,SOUTH,Lagavulin,6.1,55.63,p_amber,"Peat, Dry, Sea, Sherry","full, round, oily","dry, smoke, salt","dry, big, smoke, salt",islay
Laphroaig,Laphroaig,10,4,86,43,ISLAY,SOUTH,Laphroaig,6.12,55.63,f_gold,"Sea, Sherry","med, oily","oil, salt","full, dry",islay
Linkwood,Linkwood,12,4,83,40,HIGH,SPEY,Linkwood,3.24,57.61,f_gold,"Sweet, Light, Sherry, Rich","med, round","dry, light, smoke, sweet","dry, smooth",spey
Littlemill,Littlemill,8,4,83,43,LOW,NORTHWEST,Littlemill,4.55,55.94,wyne,"Peat, Sweet","soft, med, light",sweet,"dry, smooth, fruit",lowland
Lochnagar,Lochnagar,12,4,80,43,HIGH,EAST,Lochnagar,3.2,57.04,f_gold,Peat,"med, full, smooth","light, fruit, smoke, sweet","dry, smoke, sweet",east
Lochside,Lochside,-9,3,71,40,HIGH,EAST,Lochside,2.51,56.74,amber,"Fruit, Sherry, Rich","soft, med, smooth","dry, sherry","big, long",east
Longmorn,Longmorn,12,4,85,40,HIGH,SPEY,Longmorn,3.24,57.56,f_gold,"Grass, Rich","smooth, firm","clean, fruit, grass, sweet","smooth, clean",spey
Macallan,Macallan,10,5,87,40,HIGH,SPEY,Macallan,3.21,57.5,amber,"Sweet, Fruit, Sherry, Rich",full,"sherry, sweet","dry, smoke, sweet, spice",spey
Millburn,Millburn,-9,3,76,40,HIGH,SPEY,Millburn,4.14,57.43,red,"Aroma, Sherry, Rich","full, smooth","sherry, smoke, sweet","warm, smoke, long",spey
Miltonduff,Miltonduff,12,3,76,43,HIGH,SPEY,Miltonduff,3.37,57.66,p_gold,"Aroma, Peat, Dry, Grass","med, smooth, firm","clean, sweet, arome","dry, sweet, arome",spey
Mortlach,Mortlach,12,4,81,40,HIGH,SPEY,Mortlach,3.11,57.44,p_amber,"Peat, Sweet, Rich","med, full","full, fruit, smoke, sweet","dry, long",spey
North Port,North Port,-9,2,64,40,HIGH,EAST,North Port,2.47,56.71,f_gold,"Peat, Dry, Sherry","med, light","full, dry, smoke, sweet",dry,east
Oban,Oban,12,4,76,43,HIGH,WEST,Oban,5.47,56.77,amber,"Peat, Sweet, Fresh, Sea","med, full, smooth, firm","dry, smooth, fruit, smoke, sweet","warm, sweet, spice",east
Port Ellen,Port Ellen,-9,4,79,40,ISLAY,SOUTH,Port Ellen,6.18,55.63,amber,"Aroma, Peat, Sweet, Grass, Sea, Spicy","med, smooth","dry, sweet, spice, arome","big, spice, oil, long",west
Pulteney,Pulteney,8,3,77,40,HIGH,NORTH,Pulteney,3.11,58.43,amber,"Fresh, Dry, Sea","light, firm","smooth, sweet, spice, salt","warm, salt, long",north
Rosebank,Rosebank,8,4,76,40,LOW,CENTRAL,Rosebank,3.8,56,amber,"Aroma, Dry, Grass, Sherry","smooth, light","dry, fruit, grass",dry,lowland
Saint Magdalene,Saint Magd,18,2,67,40,LOW,CENTRAL,Saint Magdalene,3.61,55.97,red,"Peat, Dry, Sherry","med, smooth, light","grass, smoke, sweet","dry, grass",lowland
Scapa,Scapa,8,3,76,40,HIGH,ORKNEY,Scapa,2.96,58.95,amber,"Fresh, Fruit, Grass, Sea",med,salt,"dry, oil",islands
Singleton,Singleton,-9,4,79,40,HIGH,SPEY,Singleton,3.06,57.55,f_amber,Sherry,"med, smooth","sherry, fruit, spice",smoke,spey
Speyburn,Speyburn,-9,3,71,40,HIGH,SPEY,Speyburn,3.17,57.54,bronze,"Dry, Fruit, Sherry",smooth,"dry, fruit, sweet","smooth, sweet, quick",spey
Springbank,Springbank,15,5,88,46,LOW,CAMPBEL,Springbank,5.6,55.41,gold,"Sweet, Fresh, Sea, Rich","med, round, smooth, light","light, sweet, salt","warm, smoke, sweet, salt, very",campbell
Springbank-Longrow,Longrow,14,5,90,46,LOW,CAMPBEL,Springbank-Longrow,5.6,55.41,gold,"Peat, Grass, Sea","med, oily","dry, smoke","big, salt, ling",campbell
Strathisla,Strathisla,8,3,79,40,HIGH,SPEY,Strathisla,2.96,57.56,amber,"Dry, Sherry, Rich","med, firm","dry, sherry, grass, sweet","dry, big, ling",spey
Talisker,Talisker,10,4,90,45.8,HIGH,SKYE,Talisker,6.35,57.29,red,"Peat, Sweet, Sea, Rich","full, oily","big, smoke, sweet, spice","big, spice, long",islands
Tamdhu,Tamdhu,10,3,75,40,HIGH,SPEY,Tamdhu,3.34,57.46,p_amber,"Peat, Sweet, Light, Sherry","med, round, light","sweet, arome",full,spey
Tamnavulin,Tamnavulin,10,3,76,43,HIGH,SPEY,Tamnavulin,3.32,57.31,wyne,"Peat, Grass","smooth, light","fruit, grass",arome,spey
Teaninich,Teaninich,-9,3,71,40,HIGH,NORTH,Teaninich,4.28,57.68,p_amber,"Aroma, Peat, Dry","soft, med","full, dry, smoke, sweet, spice","dry, smoke",north
Tobermory,Tobermory,-9,2,67,40,HIGH,MULL,Tobermory,6.08,56.61,f_gold,"Peat, Sweet, Light","soft, med","dry, fruit, smoke","light, sweet, arome",islands
Tomatin,Tomatin,10,3,75,40,HIGH,SPEY,Tomatin,3.99,57.33,f_gold,"Aroma, Peat, Sweet, Fresh, Dry","soft, med, smooth","dry, sweet, spice",oil,spey
Tomintoul,Tomintoul,12,3,76,40,HIGH,SPEY,Tomintoul,3.38,57.25,f_gold,"Aroma, Grass","soft, smooth, light","grass, sweet",long,spey
Tormore,Tormore,10,3,76,43,HIGH,SPEY,Tormore,3.41,57.38,f_gold,"Peat, Dry, Fruit","med, full, smooth","full, smooth","full, smooth, very",spey
Tullibardine,Tullibardi,10,3,76,40,HIGH,MIDLAND,Tullibardine,3.78,56.25,gold,Sweet,"med, smooth, firm","full, clean, fruit, grass, sweet","big, sweet, arome",midland
